PO_NAME,Zipcode,STATE,Area__,Length__,Lng,Lat
SAN FRANCISCO,94131,CA,62041183.58,57011.78328,-122.428637,37.735081
OAKLAND,94603,CA,77980129.4,57224.90783,-122.195564,37.723257
SAN FRANCISCO,94116,CA,73713578.44,42635.95532,-122.508573,37.735638
SAN FRANCISCO,94124,CA,136997620.4,114072.4752,-122.393669,37.708258
SAN FRANCISCO,94127,CA,46522319.08,37097.25674,-122.462314,37.723083
SAN LEANDRO,94577,CA,224770222,121640.6501,-122.119642,37.729056
SAN FRANCISCO,94132,CA,112727175.1,52755.15323,-122.471123,37.708377
SAN FRANCISCO,94112,CA,92226023.99,57996.31876,-122.420661,37.732041
SAN FRANCISCO,94134,CA,67516008.09,44866.52155,-122.420661,37.732041
DUBLIN,94568,CA,219804722.2,84093.25204,-121.972512,37.728558
SAN LEANDRO,94578,CA,125334185.7,81210.6463,-122.132717,37.690519
DALY CITY,94015,CA,159483452.4,75079.28561,-122.471901,37.649117
BRISBANE,94005,CA,132357364.3,67781.50392,-122.393412,37.708289
DALY CITY,94014,CA,181555330.1,81604.62885,-122.429303,37.683086
SAN LEANDRO,94579,CA,83767507.77,51133.15084,-122.132717,37.690519
SAN LORENZO,94580,CA,110040203.7,69329.41255,-122.157204,37.656369
HAYWARD,94541,CA,199794016.6,105832.8365,-122.040154,37.679755
PLEASANTON,94566,CA,687209602.8,134627.7377,-121.846674,37.602484
HAYWARD,94542,CA,192100132.8,103223.6778,-121.988863,37.633933
HAYWARD,94544,CA,292946682,109190.1915,-122.07104,37.613185
PACIFICA,94044,CA,402788971.6,123465.9436,-122.520104,37.575364
HAYWARD,94545,CA,357948604.5,100977.9341,-122.145806,37.60252
SUNOL,94586,CA,694082337.9,243362.2543,-121.823558,37.484289
SOUTH SAN FRANCISCO,94080,CA,276672297.4,153445.724,-122.387851,37.669216
UNION CITY,94587,CA,794418080.8,217359.3409,-122.025419,37.578454
SAN BRUNO,94066,CA,198460889.2,88744.88549,-122.442863,37.594235
SAN FRANCISCO,94128,CA,89778765.11,57489.97021,-122.403253,37.635231
SAN MATEO,94401,CA,84012885.9,68467.70094,-122.293262,37.56779
HALF MOON BAY,94019,CA,2041953704,318646.5763,-122.499996,37.49912
MILLBRAE,94030,CA,95661190.41,54644.65092,-122.434466,37.610553
FREMONT,94555,CA,334592279.1,110201.4832,-122.038336,37.56356
MOSS BEACH,94038,CA,194126795.3,87098.66972,-122.499996,37.49912
BURLINGAME,94010,CA,359016202.6,141377.757,-122.361334,37.531341
FREMONT,94536,CA,396695472.3,106065.8214,-122.038336,37.56356
FREMONT,94539,CA,824046204.3,155729.1159,-121.867757,37.482758
SAN MATEO,94402,CA,140943163.7,125898.2727,-122.361334,37.531341
SAN MATEO,94404,CA,136283387.4,60618.03942,-122.277719,37.534183
SAN MATEO,94403,CA,154142008,83184.07191,-122.302464,37.560389
FREMONT,94538,CA,637942800.9,170982.2074,-121.962324,37.565047
NEWARK,94560,CA,548993705,115655.0087,-122.024125,37.483212
REDWOOD CITY,94065,CA,71850210.7,45567.43082,-122.248478,37.521499
REDWOOD CITY,94063,CA,358663813.6,122228.6049,-122.230511,37.482734
ATHERTON,94027,CA,140097694,81316.31125,-122.228645,37.424282
BELMONT,94002,CA,163210029.2,86346.48721,-122.337695,37.506256
SAN CARLOS,94070,CA,191633849.3,99300.22645,-122.256206,37.517204
SAN JOSE,95134,CA,310894471.5,121395.24,-121.9152,37.396105
ALVISO,95002,CA,124021404,62725.59654,-121.968363,37.418821
REDWOOD CITY,94062,CA,2346924897,430979.7173,-122.189669,37.320248
SUNNYVALE,94089,CA,340216933.3,98461.38128,-122.059667,37.434161
PALO ALTO,94301,CA,67843191.37,46139.94642,-122.154656,37.432514
MENLO PARK,94025,CA,336079222.3,182065.9922,-122.240782,37.411568
PALO ALTO,94303,CA,235585704.5,117478.5341,-122.102025,37.415583
MILPITAS,95035,CA,1364207061,238038.0797,-121.9152,37.396105
MOUNT HAMILTON,95140,CA,4411080491,475929.7421,-121.447763,37.395849
REDWOOD CITY,94061,CA,102796125,55830.92173,-122.226199,37.442346
MOUNTAIN VIEW,94043,CA,236420743,99619.62814,-122.04438,37.394241
PALO ALTO,94304,CA,238521898,123597.0369,-122.15696,37.418457
STANFORD,94305,CA,66724187.16,39866.88647,-122.165284,37.441917
MOUNTAIN VIEW,94035,CA,81838750.66,54976.90048,-122.035339,37.400705
PALO ALTO,94306,CA,105299923.3,80011.6573,-122.116936,37.40355
PORTOLA VALLEY,94028,CA,373196294.3,125210.3076,-122.175567,37.325286
MOUNTAIN VIEW,94040,CA,98758319.31,79856.19783,-122.059995,37.375298
LOS ALTOS,94022,CA,421136512,137369.7765,-122.095982,37.386054
SUNNYVALE,94085,CA,90547918.2,47415.86046,-121.986888,37.388658
SUNNYVALE,94086,CA,128943089.8,65560.36154,-122.059995,37.375298
LOS ALTOS,94024,CA,296697315.1,136286.643,-122.095982,37.386054
SUNNYVALE,94087,CA,184336949.6,74339.94804,-122.062404,37.359294
SAN JOSE,95002,CA,71850210.7,45567.43082,-121.99057,37.44099
SAN JOSE,94089,CA,358663813.6,122228.6049,-122.01725,37.42519
SAN JOSE,95035,CA,140097694,81316.31125,-121.81659,37.42204
SAN JOSE,95132,CA,163210029.2,86346.48721,-121.8279,37.40898
SAN JOSE,95140,CA,191633849.3,99300.22645,-121.68528,37.36817
SAN JOSE,95054,CA,310894471.5,121395.24,-121.9614,37.39631
SAN JOSE,95131,CA,124021404,62725.59654,-121.90226,37.38745
SAN JOSE,95133,CA,2346924897,430979.7173,-121.86119,37.37164
SAN JOSE,95127,CA,340216933.3,98461.38128,-121.79316,37.37384
SAN JOSE,95014,CA,67843191.37,46139.94642,-122.09444,37.29426
SAN JOSE,95070,CA,336079222.3,182065.9922,-122.05115,37.25377
SAN JOSE,95121,CA,235585704.5,117478.5341,-121.80773,37.30317
SAN JOSE,95135,CA,1364207061,238038.0797,-121.71464,37.27582
SAN JOSE,95124,CA,4411080491,475929.7421,-121.92535,37.25545
SAN JOSE,95138,CA,102796125,55830.92173,-121.73568,37.24821
SAN JOSE,95123,CA,236420743,99619.62814,-121.82688,37.24071
SAN JOSE,95120,CA,238521898,123597.0369,-121.83411,37.19268
SAN JOSE,95037,CA,66724187.16,39866.88647,-121.62704,37.16808
SAN JOSE,95050,CA,81838750.66,54976.90048,-121.95082,37.35148
SAN JOSE,95051,CA,105299923.3,80011.6573,-121.98475,37.35037
SAN JOSE,95125,CA,373196294.3,125210.3076,-121.8951,37.29722
PORTOLA VALLEY,95128,CA,98758319.31,79856.19783,-121.93639,37.31628
MOUNTAIN VIEW,95177,CA,421136512,137369.7765,-121.93639,37.31628
LOS ALTOS,95008,CA,90547918.2,47415.86046,-121.95669,37.27902
SUNNYVALE,95129,CA,128943089.8,65560.36154,-122.00223,37.3075
SUNNYVALE,94085,CA,296697315.1,136286.643,-122.01678,37.3886
LOS ALTOS,94086,CA,184336949.6,74339.94804,-122.02421,37.36965
